ID;Empty Spaces;Negative Space;Interesting Elements;Significant Jumps;Linearity;Lenience;Avg Enemy Comp;Enemy Count;Density
1;0,7300081;0,07086995;0,1679631;0,375;0,6376016;0,5026738;0,45847175;0,44444445;0,59016395
2;0,75528705;0,07171868;0,17058752;0,375;0,75016475;0,5721925;0,47751936;0,47619048;0,4262295
3;0,8184841;0,030130338;0,16533868;0,3409091;0,522293;0,486631;0,5338726;0,36507937;0,34972677
4;0,7982611;0,04031524;0,16533868;0,3409091;0,58269274;0,54545456;0,45736432;0,3809524;0,3715847
5;0,779302;0,02715974;0,16402647;0,35227272;0,58818364;0,5080214;0,49860466;0,3968254;0,48087433
6;0,8197481;0,05134888;0,15615319;0,36363637;0,7007468;0,4973262;0,5016611;0,44444445;0,27322406
7;0,77677405;0,03225219;0,16140205;0,3409091;0,59367454;0,46524063;0,45736432;0,3809524;0,5027322
8;0,8184841;0,03734464;0,16008984;0,29545453;0,57720184;0,5721925;0,42325583;0,31746033;0,32786885
9;0,76666254;0,03225219;0,16927533;0,32954547;0,58543813;0,6096257;0,43680483;0,36507937;0,5136612
10;0,82480395;0,04922703;0,16402647;0,3181818;0,571711;0,54545456;0,4651163;0,34920636;0,26229507
11;0,78056586;0,0364959;0,16271426;0,3409091;0,4948386;0,5828877;0,40444893;0,36507937;0,45901638
12;0,8197481;0,0364959;0,16140205;0,32954547;0,5030749;0,6096257;0,40591967;0,34920636;0,29508197
13;0,7097851;0,068748094;0,17058752;0,35227272;0,78311;0,5989305;0,5813953;0,44444445;0,64480877
14;0,7236884;0,061958153;0,1771486;0,38636363;0,7282012;0,5187166;0,52093023;0,47619048;0,57923496
15;0,73379993;0,06450438;0,16927533;0,36363637;0,70898306;0,5508021;0,5448505;0,44444445;0,568306
16;0,79194134;0,04837829;0,16140205;0,3409091;0,571711;0,5080214;0,53875965;0,3809524;0,39344263
17;0,78182983;0,052197628;0,16665089;0,3181818;0,54974747;0,54010695;0,41860464;0,34920636;0,41530055
18;0,7578149;0,07171868;0,1679631;0,38636363;0,7666374;0,5775401;0,55513877;0,4920635;0,4262295
19;0,7502312;0,05644133;0,1679631;0,375;0,6430925;0,54010695;0,52491695;0,44444445;0,52459013
20;0,7616067;0,056865703;0,15615319;0,32954547;0,71447396;0,64171124;0,42418605;0,3968254;0,5027322
21;0,73759174;0,058987554;0,18108523;0,3409091;0,56622005;0,6096257;0,48449615;0,3809524;0,52459013
22;0,75528705;0,035222787;0,17846079;0,35227272;0,6376016;0,5775401;0,490161;0,41269842;0,5027322
23;0,7350639;0,08911789;0,1679631;0,36363637;0,90116405;0,5828877;0,4951238;0,4920635;0,48087433
24;0,7830938;0,042012725;0,16271426;0,36363637;0,59641993;0,5508021;0,47584972;0,41269842;0,4262295
25;0,8210121;0,028432852;0,15221655;0,32954547;0,51680213;0,5775401;0,3678647;0,34920636;0,34972677
26;0,7932053;0,029705964;0,15484099;0,35227272;0,51680213;0,53475934;0,4496124;0,3809524;0,45901638
27;0,8121645;0,046680804;0,15090436;0,3181818;0,6595651;0,5294118;0,40444893;0,36507937;0,3715847
28;0,8045808;0,030979076;0,16140205;0,35227272;0,58543813;0,5508021;0,44279072;0,3968254;0,38251367
29;0,77677405;0,044558953;0,15615319;0,3409091;0,665056;0,54010695;0,6251163;0,3968254;0,48087433
30;0,76539856;0,058987554;0,17321196;0,35227272;0,58269274;0,56149733;0,4539535;0,3968254;0,43715847
31;0,83617944;0,019945439;0,15221655;0,27272728;0,58818364;0,5882353;0,4031008;0,2857143;0,32786885
32;0,7641345;0,058987554;0,16402647;0,3409091;0,70349216;0,54010695;0,4651163;0,41269842;0,48087433
33;0,77045435;0,030979076;0,15221655;0,32954547;0,6705469;0,5508021;0,4883721;0,3809524;0,568306
34;0,7502312;0,066201866;0,16271426;0,38636363;0,70349216;0,5026738;0,62635654;0,47619048;0,5027322
35;0,8121645;0,026735365;0,16140205;0,35227272;0,58818364;0,45989305;0,50604653;0,3968254;0,3715847
36;0,7679264;0,054743852;0,17321196;0,36363637;0,6513288;0,5240642;0,5374677;0,42857143;0,44808742
