ID;Empty Spaces;Negative Space;Interesting Elements;Significant Jumps;Linearity;Lenience;Avg Enemy Comp;Enemy Count;Density
201;0,7561398;0,21045853;0,15960912;0,2159091;0,5732484;0,7914438;0,3658915;0,23809524;0,284153
202;0,7881495;0,038617752;0,16008984;0,3181818;0,51680213;0,5026738;0,42967886;0,33333334;0,45901638
203;0,82673377;0,13935241;0,09120521;0,1590909;0,5700637;0,8128342;0,24806203;0,14285715;0,28961748
204;0,84085256;0,10037572;0,042345274;0,11363637;0,65286624;0,87700534;0,25581396;0,12698413;0,38251367
205;0,74358976;0,24732842;0,23289903;0,23863636;0,70700634;0,77540106;0,6356589;0,2857143;0,07650273
206;0,7498647;0,073513396;0,055374596;0,1590909;0,32165605;0,8342246;0,10852713;0,0952381;0,6557377
207;0,8549713;0,10248258;0,06514658;0,13636364;0,6560509;0,80748665;0,062015507;0,14285715;0,2568306
208;0,8988964;0,09142163;0,03257329;0,1590909;0,6815287;0,8181818;0,28752643;0,17460318;0,21311475
209;0,7671211;0,124077775;0,1009772;0,1590909;0,3503185;0,82887703;0,0;0,0952381;0,43715847
210;0,80320245;0,14777982;0,11563518;0,26136363;0,18789816;0,78074867;0,7131783;0,1904762;0,284153
211;0,7216272;0,21361883;0,1742671;0,26136363;0,54140127;0,7326203;0,5271318;0,2857143;0,36065573
212;0,8518338;0,09300175;0,03583062;0,1590909;0,700637;0,80748665;0,27906978;0,1904762;0,36612022
213;0,8311236;0,039042126;0,15221655;0,32954547;0,47836596;0,5508021;0,410148;0,34920636;0,284153
214;0,7608461;0,17358871;0,11889251;0,1590909;0,700637;0,8449198;0,27906978;0,1904762;0,3442623
215;0,8769339;0,06719287;0,037459284;0,17045455;0,18471342;0,8449198;0,27906978;0,0952381;0,2513661
216;0,8016337;0,099849015;0,03908795;0,17045455;0,5318471;0,8235294;0,2959831;0,17460318;0,52459013
217;0,742021;0,15568049;0,094462544;0,17045455;0,6656051;0,8181818;0,4496124;0,1904762;0,5409836
218;0,8675214;0,09616203;0,045602605;0,13636364;0,6560509;0,86096257;0,24806203;0,14285715;0,20765027
219;0,93654656;0,07825382;0,030944625;0,14772727;0,39808917;0,8342246;0,062015507;0,0952381;0,08196721
220;0,93968403;0,057185337;0,052117266;0,18181819;0,43630576;0,7433155;0,3255814;0,12698413;0,12021858
221;0,8847777;0,085101075;0,045602605;0,13636364;0,5764331;0,8181818;0,19767442;0,12698413;0,23497267
222;0,87379634;0,11828393;0,06514658;0,13636364;0,5573249;0,85026735;0,3604651;0,12698413;0,10928962
223;0,90674025;0,10090243;0,07654723;0,1590909;0,47133762;0,80213904;0,37209302;0,11111111;0,12021858
224;0,7413836;0,055168215;0,16140205;0,38636363;0,57720184;0,48128343;0,5016611;0,44444445;0,59016395
225;0,7363279;0,056865703;0,15877762;0,375;0,6458379;0,5561497;0,5016611;0,44444445;0,6010929
226;0,95694035;0,07667367;0,03257329;0,11363637;0,47133762;0,88235295;0,0;0,04761905;0,021857923
227;0,82673377;0,16726816;0,12052117;0,1590909;0,5573249;0,8235294;0,15503876;0,14285715;0,18579236
228;0,90203404;0,09194834;0,057003256;0,14772727;0,45222932;0,86096257;0,18604651;0,11111111;0,0
229;0,80947745;0,08299422;0,02931596;0,20454545;0,6401274;0,7860963;0,4837209;0,23809524;0,52459013
230;0,89732766;0,061399028;0,04071661;0,10227273;0,35350323;0,8663102;0,0;0,031746034;0,17486338
231;0,8894839;0,08878806;0,05374593;0,14772727;0,42356694;0,8342246;0,31007752;0,0952381;0,15846995
232;0,90046513;0,0645593;0,06188925;0,19318181;0,48726118;0,79679143;0,19638243;0,14285715;0,16393442
233;0,9349778;0,0866812;0,047231272;0,1590909;0,37898088;0,8181818;0,0;0,0952381;0,06010929
234;0,86281514;0,11459695;0,048859935;0,13636364;0,66878986;0,86096257;0,38372093;0,12698413;0,26229507
235;0,8957589;0,08036065;0,01465798;0,11363637;0,60509557;0,8716577;0,1461794;0,11111111;0,27868852
236;0,77045435;0,034798414;0,16271426;0,375;0,5991654;0,49197862;0,6477175;0,42857143;0,52459013
237;0,74829596;0,19044352;0,1563518;0,1590909;0,49044585;0,8128342;0,12790698;0,12698413;0,33333334
238;0,920859;0,07245998;0,03257329;0,13636364;0,46815288;0,8181818;0,124031015;0,0952381;0,19125684
239;0,91301525;0,085101075;0,037459284;0,13636364;0,50318474;0,8449198;0,37209302;0,11111111;0,09836066
240;0,9177215;0,08984148;0,04397394;0,1590909;0,54777074;0,79679143;0,20465116;0,15873016;0,08196721
241;0,8502651;0,14040585;0,07166124;0,11363637;0,7802548;0,87700534;0,10465116;0,12698413;0,10928962
242;0,48788276;0,47539473;0,47394136;0,13636364;0,5191083;0,8930481;0,119601324;0,11111111;0,17486338
243;0,9506654;0,07983395;0,055374596;0,17045455;0,589172;0,7593583;0,37209302;0,15873016;0,021857923
244;0,9318403;0,09036819;0,037459284;0,10227273;0,7356688;0,85026735;0,37209302;0,11111111;0,08743169
245;0,8549713;0,13935241;0,08794788;0,18181819;0,67197454;0,8235294;0,47942755;0,20634921;0,12021858
246;0,79065233;0,2125654;0,19381107;0,1590909;0,3949045;0,82887703;0,37209302;0,11111111;0,10928962
247;0,76287067;0,055168215;0,15484099;0,32954547;0,6321107;0,5294118;0,4224806;0,3809524;0,52459013
248;0,83771497;0,13145174;0,07654723;0,1590909;0,5127389;0,8395722;0,12790698;0,12698413;0,28961748
249;0,575733;0,31685436;0,2850163;0,22727273;0,48407644;0,79679143;0,2243502;0,26984128;0,4863388
250;0,9177215;0,08299422;0,01791531;0,06818182;0,72292995;0,9037433;0,0;0,06349207;0,15846995
251;0,89262146;0,11090996;0,048859935;0,13636364;0,7197453;0,8342246;0,26046512;0,15873016;0,13114753
252;0,92556536;0,073513396;0,052117266;0,19318181;0,28662425;0,79679143;0,23255815;0,12698413;0,06010929
253;0,30120093;0,66395766;0,66938114;0,20454545;0,62420386;0,82887703;0,551495;0,22222222;0,19125684
254;0,8110462;0,10300928;0,1009772;0,22727273;0,24840772;0,72727275;0,25369978;0,17460318;0,3715847
255;0,92242783;0,11143667;0,0504886;0,125;0,8503185;0,8663102;0,26046512;0,15873016;0,027322404
256;0,920859;0,069299705;0,03908795;0,18181819;0,46178347;0,7647059;0,29767442;0,15873016;0,1693989
257;0,8063399;0,09142163;0,030944625;0,10227273;0,888535;0,8716577;0,49612406;0,14285715;0,40983605
258;0,7540231;0,059411928;0,16927533;0,375;0,70898306;0,5775401;0,6126704;0,46031746;0,48087433
