ID;Empty Spaces;Negative Space;Interesting Elements;Significant Jumps;Linearity;Lenience;Avg Enemy Comp;Enemy Count;Density
601;0,8372205;0,08795219;0,039335787;0,13636364;0,5057603;0,79679143;0,0;0,031746034;0,79234976
602;0,77210456;0,11839174;0,08186501;0,70454544;0,64878863;0,14438502;0,12613323;0,93650794;0,90163934
603;0,96824497;0,056278743;0,025920443;0,20454545;0,27373004;0,80748665;0,0;0,015873017;0,010928961
604;0,8368682;0,1340404;0,0654242;0,2159091;0,7488626;0,7647059;0,098495215;0,26984128;0,4918033
605;0,9092721;0,07459225;0,042336546;1,0;0,40243822;0,0;0,39276487;1,0;0,6666667
606;0,8510495;0,11644045;0,052931596;0,27272728;0,79085463;0,7058824;0,3765227;0,33333334;0,60655737
607;0,93290704;0,04602606;0,036188927;0,26136363;0,30748516;0,7112299;0,124031015;0,14285715;0,2021858
608;0,5985296;0,34798372;0,33107245;0,35227272;0,68355715;0,6737968;0,40930232;0,3968254;0,39344263
609;0,9286819;0,05028189;0,036188927;0,25;0,35023302;0,72727275;0,124031015;0,14285715;0,2021858
610;0,84929353;0,11815559;0,077655055;0,5;0,6977772;0,47593582;0,34651163;0,63492066;0,46994534
611;0,82516503;0,11302483;0,07097505;0,39772728;0,6750293;0,5828877;0,4073777;0,46031746;0,6612022
612;0,9315034;0,06999963;0,034223817;0,18181819;0,41039765;0,8128342;0,3488372;0,12698413;0,010928961
613;0,91081053;0,09285939;0,03556651;0,1590909;0,71467274;0,80213904;0,0;0,12698413;0,37704918
614;0,52098596;0,08829234;0,037825078;0,38636363;0,7945346;0,684492;0,2377261;0,42857143;1,0
615;0,90758806;0,09142163;0,040708385;0,4659091;0,7478095;0,5026738;0,43243244;0,5873016;0,2021858
