ID;Empty Spaces;Negative Space;Interesting Elements;Significant Jumps;Linearity;Leniency;Avg Enemy Comp;Enemy Count;Density
0;0,8699565;0,17143318;0,1679631;0,9411765;0,6376016;0,12264151;0,43622446;0,8484849;0,64285713
1;0,8821323;0,17219004;0,17058752;0,9411765;0,75016475;0,24528302;0,44333333;0,90909094;0,4642857
10;0,9125716;0,13510296;0,16533868;0,85294116;0,522293;0,094339624;0,4248447;0,6969697;0,3809524
100;0,902831;0,14418551;0,16533868;0,85294116;0,58269274;0,1981132;0,35059524;0,72727275;0,4047619
101;0,8936992;0,13245387;0,16402647;0,88235295;0,58818364;0,13207547;0,44514287;0,75757575;0,52380955
102;0,9131804;0,15402494;0,15615319;0,9117647;0,7007468;0,11320755;0,46045917;0,8484849;0,29761904
103;0,8924816;0,13699515;0,16140205;0,85294116;0,59367454;0,056603774;0,35059524;0,72727275;0,54761904
104;0,9125716;0,14153643;0,16008984;0,7352941;0,57720184;0,24528302;0,40035716;0,6060606;0,35714287
105;0,8876113;0,13699515;0,16927533;0,8235294;0,58543813;0,31132075;0,4248447;0,6969697;0,5595238
106;0,91561556;0,15213273;0,16402647;0,7941176;0,571711;0,1981132;0,4318182;0,6666667;0,2857143
107;0,894308;0,14077955;0,16271426;0,85294116;0,4948386;0,26415095;0,40124223;0,6969697;0,5
108;0,9131804;0,14077955;0,16140205;0,8235294;0,5030749;0,31132075;0,2961039;0,6666667;0,32142857
109;0,86021596;0,16954097;0,17058752;0,88235295;0,78311;0,29245284;0,51862246;0,8484849;0,70238096
11;0,86691254;0,16348593;0,1771486;0,9705882;0,7282012;0,1509434;0,4885714;0,90909094;0,63095236
110;0,87178284;0,16575657;0,16927533;0,9117647;0,70898306;0,20754717;0,48469388;0,8484849;0,61904764
111;0,89978707;0,15137586;0,16140205;0,85294116;0,571711;0,13207547;0,4014881;0,72727275;0,42857143
112;0,8949168;0,15478182;0,16665089;0,7941176;0,54974747;0,18867925;0,38863635;0,6666667;0,45238096
113;0,88334984;0,17219004;0,1679631;0,9705882;0,7666374;0,254717;0,47718894;0,93939394;0,4642857
114;0,8796971;0,1585662;0,1679631;0,9411765;0,6430925;0,18867925;0,5137755;0,8484849;0,5714286
115;0,8851762;0,15894465;0,15615319;0,8235294;0,71447396;0,36792454;0,42342857;0,75757575;0,54761904
116;0,8736092;0,16083685;0,18108523;0,85294116;0,56622005;0,31132075;0,34494048;0,72727275;0,5714286
117;0,8821323;0,13964424;0,17846079;0,88235295;0,6376016;0,254717;0,38104394;0,7878788;0,54761904
